,Strathvale Chicken Breast Fillets,Aberdoyle Dairies Scottish Whole Milk,Strathvale Beef Mince 25%,Lighthouse Bay Scottish Salmon Fillets,Penne,Long Grain Brown Rice,Simply Wholegrain Porridge Oats,Mister Choc Smooth Peanut Butter,Simply Chicken Breast Fillets,Mixed Vegetables,Fruit Assorted Summer / Black Forest Fruits,Ready to Eat Avocado,Tomato Pasta,Couscous,Simply Beans,Oaklands Potatoes,Albert Bartlett Rooster Potatoes,Aberdoyle Dairies Scottish Cottage Cheese,Milbona Creamy Greek Style Yogurt,Egg,Lighthouse Bay Scottish Smoked Salmon,Bakery W/meal ...use,Green Grocer’s Vegetable Medley,Green Beans,Freshona Supersweet Corn,Mixed Peppers,Sliced Onion,Sliced Mushrooms,Alaska Pollock Fillets,Alesto Californian Almonds,Alesto Pecan Nuts
Serving size [g ml],100,100,100,130,100,75,100,100,200,100,100,80,100,100,100,100,200,100,100,1,100,100,100,100,100,100,100,100,190,100,100
Price [£],0.4161,0.048,0.289,1.44495,0.058,0.05925,0.075,0.25,0.7,0.075,0.278,0.2725,0.098,0.089,0.055,0.05,0.18,0.2133,0.099,0.099,1.995,0.081,0.085,0.065,0.092,0.138,0.138,0.138,0.798,0.995,1.325
Energy [kcal],106,65,287,197,160,304,371,629,192,61,59,152,46,346,80,161,131,104,126,78,156,221,28,32,93,25,102,23,144,645,731
Fat [g],1.1,3.6,24.6,12.1,0.8,2.3,6.7,52.4,2.7,1,1,15.6,0.8,1.2,0.6,5.7,0.2,4.5,10,5.4,8.1,1.8,0.5,0.5,2.3,0.3,5.3,0.3,1.5,56,72.1
Saturated fat [g],0.3,2.3,10.6,2.6,0.1,0.2,1.1,8,0.7,0.2,0.5,3.3,0.1,0.2,0.3,0.7,0.1,3.2,6.7,1.5,1.3,0.4,0.1,0.1,0.4,0.1,0.6,0.1,0.2,4.9,6.1
Carbohydrates [g],0,4.7,0,0.3,32,63.5,59.5,10.9,0.9,8.4,6.5,1.5,7.4,71,10.2,26.4,28,3.6,4.6,0.1,0.1,37.8,2.8,3.1,13,3.8,10.9,0.1,0.1,5.4,5.2
Fibre [g],0,0.5,0,0.5,1.5,2.7,9.7,6.7,0.9,3.4,7.3,2.7,0.7,,8.7,2.7,2.8,0.5,0.5,,0.5,6.8,2.7,3.4,3.8,1.6,3,2.6,0.5,11.2,10.2
Protein [g],24,3.3,16.5,21.8,5.5,5.8,13.2,25.2,40.8,2.9,1.1,1.5,1.9,11,4.2,2.6,3.1,12,4.1,,20.6,10,1.6,1.9,3.2,0.9,1.2,3.6,32.3,24.2,10.1
Salt [g],0.15,0.15,0.18,0.15,0,0.02,0.01,0.9,1.5,0.04,0.04,0.02,0.7,0,0.49,0.01,0.01,0.43,0.1,0.23,2.98,0.9,0.08,0.01,0.01,0.01,0.01,0.01,0.48,0.02,0.01
Vitamin B12 [µg],,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium [mg],,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omega 3 [g],,,,1.08,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,
Thiamin [mg],,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,
Potassium [mg],,,,,,,,,,,,,,,,597,,,,,,,,,,,,,,,
Vitamin A [µg],,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,,
Vitamin C [mg],,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,