name,Impact Whey Protein,Impact Whey Isolate,Vegan Protein Blend,Hydrolysed Beef Protein,Iso:Pro Whey Protein,Soy Protein Isolate,Collagen Protein,Vitamin B12 Tablets,Calcium & Magnesium Tablets,All-Natural Peanut Butter,Powdered Peanut Butter,Organic Peanut Butter,All-Natural Almond Butter,All-Natural Cashew Butter,Protein Brownie,Vitamin D3 Softgels,Extreme Gainer Blend,Clear Whey Isolate,Protein Cookie,Essential BCAA 2:1:1 Powder,Immune Health,Vitamin C Plus Tablets,Weight Gainer Blend,Baked Protein Cookie,A-Z Multivitamin Tablets,Layered Protein Bar â€” Drumstick,Total Protein Blend,Multivitamin,Protein Meal Replacement Blend,Thermopure,Lean Cookie,Vegan Omega 3 Softgels,Cod Liver Oil Softgels,Omega 3-6-9 Softgels,Multivitamin Gummies,Whole Fuel Blend,Omega-3 Plus Softgels,Essential Omega-3,Omega Balance Softgels,Daily Multivitamin Tablets,Organic Chia Super Seeds,Omega-3 Elite,Krill Oil Capsules,Myvitamins Lutein+,Algae Oil Capsules,Diet Protein Blend,Vitamin B Plus,Raspberry Extract Capsules,Vitacholine,100% Dextrose Glucose Carbs,100% Instant Oats,Recovery Gel Elite,100% Cyclic-Dextrin Carbs,100% Maltodextrin Carbs,Oats & Whey Protein Bar,Vitafiber,Oatbran,100% Rolled Oats,100% Gluten-Free Rolled Oats,100% Gluten-Free Instant Oats,100% Waxy Maize Starch,Lean Flapjack,Protein Flapjack,Energy Gel Elite,Electrolytes Plus Tablets,Organic Cacao Powder,Potassium Tablets,CLA Capsules,Impact EAA,100% L-Lysine Powder,100% NAC Powder,Organic Cacao Nibs,Jimmy Joy Plenny Shake Active V3.0 Neutral,Jimmy Joy Plenny Shake v3.0,Huel Powder v3.0,Huel Black Edition,Deluxe Kolymvari Extra Virgin Olive Oil
price,0.0096759,0.0129987,0.009998,0.0106574,0.0181974,0.006598,0.0162435,0.03330556,0.05553703666666667,0.0042185,0.0324638889,0.0077935,0.0094185,0.0123435,0.74958333,0.01804167,0.0064987,0.04398,1.08279167,0.027495,0.24905833,0.04719444,0.004799,0.70791667,0.08659444,2.49833333,0.006999,0.05620833,0.007298,0.07219443333333334,1.00154167,0.12635278,0.03883333,0.054125,0.23316667,0.0077973999999999995,0.085774,0.020495,0.098774,0.04719444,0.0129783333,0.137774,0.04598,0.21645,0.18048333,0.015587,0.05275,0.09719444,0.27766667,0.001699,0.001099,1.73279167,0.0162435,0.001349,0.72186111,0.011687000000000001,0.001798,0.001799,0.001799,0.0019486999999999998,0.0033989999999999997,0.97445833,0.97445833,0.714675,0.0305278,0.01398,0.03849444,0.055277778,0.039,0.04998,0.00445,0.018968,0.01276595744680851,0.011354166666666667,0.011000000000000001,0.013555555555555555,0.00598
energy,4.12,3.73,3.66,4.06,3.8,3.6,3.6,,,6.13,3.98,5.96,6.53,6.39,287.0,,4.02,3.34,320.0,0.0,,,3.88,289.0,,215.0,3.92,,3.92,0.26666666666666666,194.0,3.375,1.35,8.91,,4.23,9.0,2.7,9.0,,4.59,6.84,2.88,,1.8,3.81,,,,4.0,3.84,143.0,3.81,4.0,324.0,2.02,3.64,3.66,3.66,3.66,3.54,163.0,324.0,100.0,,3.53,,7.2,,,,6.04,4.25531914893617,4.166666666666667,4.0,4.444444444444445,8.25
fat,0.075,0.003,0.018,0.019,0.017,0.015,0.0,,,0.48,0.094,0.46,0.56,0.53,9.7,,0.062,0.005,9.9,,,,0.062,8.6,,7.7,0.047,,0.13,,3.0,0.375,0.15,0.99,,0.15,1.0,0.3,1.0,,0.33,0.76,0.32,,0.2,0.025,,,,,0.077,0.1,,,9.7,,0.094,0.084,0.062,0.062,0.001,3.0,11.0,,,0.11,,0.8,,,,0.5,0.1595744680851064,0.15625,0.13,0.2,0.9159999999999999
sfa,0.05,0.003,0.001,0.009,0.01,0.005,0.0,,,0.082,0.013000000000000001,0.08199999999999999,0.044000000000000004,0.1,4.2,,0.005,0.002,3.9,,,,0.013000000000000001,3.9,,3.3,0.015,,0.062,,1.3,,,,,0.018000000000000002,,,,,0.035,,,,,0.006,,,,,0.013999999999999999,0.1,,,3.6,,0.018000000000000002,0.013000000000000001,0.01,0.01,0.0,1.2,5.5,,,0.068,,,,,,0.34,0.024468085106382976,0.02395833333333333,0.023,0.02888888888888889,0.151
mufa,,,,,,,0.0,,,,,,0.34,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.030000000000000002,0.7
pufa,,,,,,,0.0,,,,,,0.14,0.11,,,,,,,,,,,,,,,,,,0.375,,,,,1.0,0.3,1.0,,0.25,0.76,0.12,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.078,0.14444444444444443,0.065
omega6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.034,0.06333333333333334,
omega3,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.15,,,,1.0,0.3,1.0,,0.187,0.76,0.11,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037000000000000005,0.07222222222222222,
epa_dha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.15,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.62,0.088,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
epa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.07,,,,,0.18,0.4,,,0.53,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.08,,,,,0.12,0.3,,,0.09,0.028,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carbs,0.04,0.025,0.14,0.001,0.0,0.018000000000000002,0.0,,,0.12,0.26,0.12,0.065,0.18,27.0,,0.5,0.027000000000000003,20.0,,,,0.5,38.0,,18.0,0.04,,0.34,,16.0,,,,,0.4,,,,,0.023,,,,,0.065,,,,1.0,0.62,20.0,0.97,1.0,44.0,0.05,0.473,0.56,0.61,0.61,0.88,25.0,32.0,25.0,,0.2,,,,,,0.18,0.3723404255319149,0.4479166666666667,0.37,0.14444444444444443,
sugar,0.04,0.025,0.003,,,0.005,,,,0.057,0.17,0.059000000000000004,0.04,0.054000000000000006,4.0,,0.14,0.01,7.3,,,,0.026000000000000002,16.0,,2.3,0.03,,0.27,,3.6,,,,,0.039,,,,,0.015,,,,,0.027000000000000003,,,,1.0,0.011000000000000001,3.4,,,3.9,,0.012,0.01,0.012,0.012,,1.0,20.0,6.3,,0.025,,,,,,0.01,0.0351063829787234,0.03333333333333333,0.006,0.014444444444444446,
fibre,0.0,,0.015,,,,,,,0.07200000000000001,0.098,0.085,0.12,0.042,2.0,,,,,,,,0.038,3.9,,7.1,,,0.08,,1.0,,,,,0.11,,,,,0.34,,,,,,,,,,0.11,,,,8.3,0.91,0.182,0.091,0.09699999999999999,0.09699999999999999,,5.6,7.8,,,0.32,,,,,,0.13,0.07765957446808511,0.08541666666666665,0.07200000000000001,0.08222222222222222,
protein,0.82,0.9,0.73,0.97,0.95,0.9,0.9,,,0.3,0.48,0.3,0.25,0.2,23.0,,0.28,0.8,38.0,0.0,,,0.314,13.0,,20.0,0.83,,0.34,0.06666666666666667,25.0,,,,,0.3,,,,,0.22,,,,,0.83,,,,,0.11,15.0,,,25.0,,0.13,0.12,0.12,0.12,0.003,10.0,20.0,,,0.29,,,,,,0.13,0.2797872340425532,0.20833333333333334,0.29,0.45555555555555555,
histidine,0.017,0.0165,0.0219,0.01,0.022000000000000002,0.023,0.011000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028571428571428574,,,,,,,,
isoleucine,0.064,0.0676,0.0418,0.018000000000000002,0.054000000000000006,0.04,0.015,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,0.10714285714285714,,,,,,,,
leucine,0.106,0.1041,0.07769999999999999,0.038,0.11900000000000001,0.066,0.027000000000000003,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,0.42857142857142855,,,,,,,,
lysine,0.096,0.0908,0.0633,0.0,0.111,0.052000000000000005,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13142857142857142,1.0,,,,,,,
methionine,0.022000000000000002,0.0209,,0.009000000000000001,0.023,0.011000000000000001,0.009000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03142857142857143,,,,,,,,
cysteine,0.022000000000000002,0.0172,,0.001,0.03,0.006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
met_cys,0.044000000000000004,0.0381,0.0147,0.01,0.053,0.017,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.03142857142857143,,,,,,,,
phenylalanine,0.03,0.0308,,0.025,0.055,0.045,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05142857142857143,,,,,,,,
tyrosine,0.026000000000000002,0.027999999999999997,,0.013999999999999999,0.035,0.027000000000000003,0.01,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phe_tyr,0.055999999999999994,0.0588,0.076,0.039,0.09,0.07200000000000001,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.05142857142857143,,,,,,,,
threonine,0.067,0.066,0.031200000000000002,0.0,0.044000000000000004,0.03,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10428571428571429,,,,,,,,
tryptophan,0.013999999999999999,0.0215,0.008,0.0,0.027000000000000003,0.011000000000000001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032857142857142856,,,,,,,,
valine,0.059000000000000004,0.0554,0.0452,0.03,0.055,0.042,0.024,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,0.10714285714285714,,,,,,,,
vitamina,,,,,,,,,,,,,,,,,4.01,,,,,,,,800.0,,,,5.5,,,,800.0,,300.0,2.3,,,,800.0,,,,3616.66667,,15.68,,,,,,,,,,,,,,,,,,,,,,,,,,,1.702127659574468,1.6666666666666667,1.8,2.0,
vitamind,,,,,,,,,,,,,,,,62.5,,,,,5.0,,,,10.0,,,5.0,0.043,,,,5.0,,5.0,0.017,,,,5.0,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05319148936170213,0.052083333333333336,0.04,0.044444444444444446,
vitamine,,,,,,,,,,,,,0.24,,,,0.061799999999999994,,,,22.0,,,,12.0,,,32.0,0.094,,,,,10.0,6.7,0.04,,,,10.0,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425531914893617,0.041666666666666664,0.03,0.03333333333333333,
vitamink,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,13.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1702127659574468,0.16666666666666666,0.35,0.3888888888888889,
vitaminc,,,,,,,,,,,,,,,,,0.4117,,,,160.0,1000.0,,,80.0,,,40.0,0.64,,,,,,40.0,0.27,,,,60.0,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3191489361702128,0.3125,0.6,0.6666666666666666,
vitaminb1,,,,,,,,,,,,,,,,,0.005699999999999999,,,,,,,,1.1,,,6.3,0.009000000000000001,,,,,,,0.0033,,,,1.8,,,,,,0.024,91.0,,,,,0.4,,,,,,,,,,,,0.6,,,,,,,,,0.00425531914893617,0.004166666666666667,0.0024,0.0026666666666666666,
vitaminb2,,,,,,,,,,,,,,,,,0.0072,,,,,,,,1.4,,,6.3,0.019,,,,,,,0.004,,,,1.6,,,,0.21,,0.027999999999999997,50.0,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,0.0031914893617021275,0.0031249999999999997,0.0028000000000000004,0.0031111111111111114,
vitaminb3,,,,,,,,,,0.16,,0.131,,,,,0.0823,,,,,,,,16.0,,,12.5,0.15,,,,,,,0.06,,,,18.0,,,,,,0.32,50.0,,,,,6.9,,,,,,,,,,,,9.6,,,,,,,,,0.03829787234042553,0.0375,0.032,0.035555555555555556,
vitaminb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,8.3,75.0,150.015,83.05,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.3333333333333333,
vitaminb5,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,25.0,0.052000000000000005,,,,,,1.5,0.016,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.013829787234042554,0.013541666666666667,0.012,0.013333333333333332,
vitaminb6,,,,,,,,,,,,,,,,,0.007209999999999999,,,,,,,,1.4,,,6.3,0.013000000000000001,1.6666666666666667,,,,,0.5,0.005,,,,,,,,,,0.028399999999999998,41.0,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,0.00425531914893617,0.004166666666666667,0.0034000000000000002,0.003777777777777778,
vitaminb8,,,,,,,,,,1.01,,1.3,,,,,,,,,,,,,50.0,,,75.0,0.41,,,,,,30.0,0.14,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.10638297872340426,0.10416666666666667,0.1,0.13333333333333333,
vitaminb9,,,,,,,,,,,,,,,,,1.71666667,,,,,,,,333.333333,,,333.333333,2.76666667,,,,,,200.0,1.11666667,,,,,,,,,,6.733333330000001,83.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0638297872340425,1.0416666666666667,0.8,0.8888888888888888,
vitaminb12,,,,,,,,1000.0,,,,,,,,,0.0127,,,,,,,,2.5,,,2.6,0.025,7.0,,,,,2.0,0.006,,,,,,,,,,0.05,5.0,,,,,1.1,,,,,,,,,,,,1.6,,,,,,,,,0.03404255319148936,0.03333333333333333,0.008,0.008888888888888889,
calcium,,,,,,,,,266.6666666666667,,,,,,,,,,,,,,,,200.0,,,175.0,7.58,,,,,,,3.39,,,,,5.82,,,,,,,,,,,123.0,,,,,,,,,,,,10.0,100.0,1.28,,,,,,,1.9680851063829787,1.9270833333333333,2.6,2.888888888888889,
chloride,3.0,3.0,4.02,10.8,11.22,3.0,0.06,0.0,0.0,0.0,5.04,0.0,0.0,0.0,180.0,0.0,1.8,0.6,336.0,0.0,0.0,0.0,2.4,318.0,0.0,576.0,0.96,0.0,10.16,0.0,210.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.06,102.0,0.18,0.0,0.06,0.12,0.12,0.06,162.0,522.0,90.0,160.0,0.0006,,,,,,1.5,2.9680851063829787,2.90625,1.6,1.7777777777777777,
chromium,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,48.0,0.31,40.0,,,,,,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0851063829787234,0.08333333333333333,0.08,0.1,
copper,,,,,,,,,,0.0082,,0.0064,,,,,,,,,,,,,1.0,,,0.25,0.007,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,0.00425531914893617,0.004166666666666667,0.0026,0.005555555555555556,
fluoride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iodine,,,,,,,,,,,,,,,,,0.76,,,,,,,,150.0,,,,1.14,,,,,,20.0,0.3,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3191489361702128,0.3125,0.3,0.3333333333333333,
iron,,,,,,,,,,,,,,0.05,,,,,,,,,,,14.0,,,7.0,0.15,,,,,,,0.053,,,,,0.0648,,,,,0.28,,,,,,,,,,,,,,,,,,,,0.139,,,,,,,0.03404255319148936,0.03333333333333333,0.08,0.08444444444444445,
magnesium,,,,,,,,,125.0,1.95,,1.9,2.69,2.4,,,1.9298,,,,,,,,100.0,,,,2.65,,,,,,,0.83,,,,,3.01,,,,,7.56,,,,,,123.0,,,,,,,,,,,,20.0,50.0,4.99,,,,,,1.31,0.7978723404255319,0.78125,0.92,0.9777777777777777,
manganese,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.016,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,,0.010638297872340425,0.010416666666666666,0.013000000000000001,0.013333333333333332,
molybdenum,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,0.53,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13829787234042554,0.13541666666666666,0.34,0.4222222222222222,
phosphorus,,,,,,,,,,4.25,,4.2,,4.9,,,,,,,,,,,,,,,5.23,,,,,,,3.34,,,,,6.96,,,,,,,,,,,,,,,,,,,,,,,,,7.34,,,,,,,1.4893617021276595,1.4583333333333333,3.7,4.0,
potassium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83,,,,,6.85,,,,,,,,,,,77.0,,,,,,,,,,,,132.0,200.0,15.24,300.0,,,,,,4.25531914893617,4.166666666666667,7.0,7.333333333333333,
selenium,,,,,,,,,,,,,,,,,,,,,35.0,,,,55.0,,,50.0,0.47,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14300000000000002,,,,,,,0.19148936170212766,0.1875,0.2,0.3333333333333333,
sodium,2.0,2.0,2.68,7.2,7.48,2.0,0.04,0.0,0.0,0.0,3.36,0.0,0.0,0.0,120.0,0.0,1.2,0.4,224.0,0.0,0.0,0.0,1.6,212.0,0.0,384.0,0.64,0.0,7.2,0.0,140.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.04,68.0,0.12,0.0,0.04,0.08,0.08,0.04,108.0,348.0,60.0,105.0,0.0004,,,,,,1.0,1.2340425531914894,1.25,2.84,4.888888888888889,
zinc,,,,,,,,,,0.034,,0.033,,0.055,,,,,,,7.5,,,,10.0,,,7.5,0.087,,,,,,1.5,0.03,,,,,,,,1.5,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02127659574468085,0.020833333333333332,0.036000000000000004,0.04111111111111111,
salt,0.005,0.005,0.0067,0.018,0.0187,0.005,0.0001,,,0.0,0.0084,0.0,0.0,0.0,0.3,,0.003,0.001,0.56,,,,0.004,0.53,,0.96,0.0016,,0.018000000000000002,,0.35,,,,,0.0075,,,,,0.0001,,,,,0.004,,,,0.0001,0.0001,,,0.0001,0.17,0.0003,0.0,0.0001,0.0002,0.0002,0.0001,0.27,0.87,0.15,,0.001,,,,,,0.0025,0.003085106382978723,0.0031249999999999997,0.0070999999999999995,0.012222222222222223,